"Composite Scores For Private, Non-Profit and Proprietary Institutions with Fiscal Years Ending Between 7/1/2022 and 6/30/2023
Grouped by:  State, Institution Name
709.0,01205100,Pro Way Hair School,Stone Mountain,GA,30083-2884,45107.0,Proprietary,2.9
710.0,04149900,Profile Institute of Barber-Styling,Atlanta,GA,30315-8295,44926.0,Proprietary,2.0
711.0,04256700,Reformed University,Lawrenceville,GA,30043-5604,44926.0,Non Profit,3.0
712.0,00158900,Reinhardt University,Waleska,GA,30183-2900,45107.0,Non Profit,2.3
713.0,02141500,Savannah College of Art and Design,Savannah,GA,31401-4592,45107.0,Non Profit,3.0
714.0,00159100,Shorter University,Rome,GA,30165-4298,45077.0,Non Profit,3.0
715.0,00159400,Spelman College,Atlanta,GA,30314-4399,45107.0,Non Profit,3.0
716.0,00155500,Thomas University,Thomasville,GA,31792-7499,45077.0,Non Profit,2.4
717.0,00159600,Toccoa Falls College,Toccoa Falls,GA,30598-0001,45107.0,Non Profit,3.0
718.0,00159700,Truett McConnell University,Cleveland,GA,30528-1264,45107.0,Non Profit,3.0
719.0,04287100,Webb's Barber School of Arts,Macon,GA,31206-4118,44926.0,Proprietary,3.0
720.0,00160000,Wesleyan College,Macon,GA,31210-4462,45107.0,Non Profit,2.8
721.0,00160400,Young Harris College,Young Harris,GA,30582-4137,45107.0,Non Profit,2.4
722.0,00160600,Brigham Young University - Hawaii,Laie,HI,96762-1294,44926.0,Non Profit,2.7
723.0,00160500,Chaminade University of Honolulu,Honolulu,HI,96816-1578,45107.0,Non Profit,1.8
724.0,02139500,Hawaii Institute of Hair Design,Honolulu,HI,96817-5195,44926.0,Proprietary,2.1
725.0,04182200,Hawaii Medical College,Honolulu,HI,96814-3518,44926.0,Proprietary,2.2
726.0,04269600,IBS School of Cosmetology and Massage,Kahului,HI,96732-2118,44926.0,Proprietary,3.0
727.0,03735300,Institute of Clinical Acupuncture and Oriental Medicine,Honolulu,HI,96817-4724,44926.0,Proprietary,3.0
728.0,04275400,Makana Esthetics Wellness Academy,Honolulu,HI,96817-5327,44926.0,Proprietary,2.9
729.0,04165200,Mauna Loa Helicopters,Kailua Kona,HI,96740-2650,44926.0,Proprietary,2.8
730.0,04252700,Pacific Rim Christian University,Honolulu,HI,96819-2228,45107.0,Non Profit,2.2
731.0,03069100,Allen College,Waterloo,IA,50703-0000,44926.0,Non Profit,2.2
732.0,02289000,American Hair Academy,Mt. Pleasant,IA,52641-1856,44926.0,Proprietary,2.9
733.0,04203300,Aveda Institute Des Moines,Des Moines,IA,50266-8137,45107.0,Proprietary,1.8
734.0,04292400,Body Wisdom Massage Therapy School,Urbandale,IA,50322-2903,44926.0,Proprietary,3.0
735.0,00184600,Briar Cliff University,Sioux City,IA,51104-2324,45077.0,Non Profit,1.3
736.0,00184700,Buena Vista University,Storm Lake,IA,50588-9987,45107.0,Non Profit,2.4
737.0,00771700,Capri College,Davenport,IA,52807-2622,45107.0,Proprietary,3.0
738.0,00758800,Capri College,Dubuque,IA,52004-0873,45107.0,Proprietary,3.0
739.0,02090300,Capri College,Cedar Rapids,IA,52404-0000,45107.0,Proprietary,3.0
740.0,03720300,Carlson College of Massage Therapy,Anamosa,IA,52205-7519,44926.0,Proprietary,3.0
741.0,00185000,Central College,Pella,IA,50219-1999,45107.0,Non Profit,2.2
742.0,00185200,Clarke University,Dubuque,IA,52001-3198,45077.0,Non Profit,2.2
743.0,00185400,Coe College,Cedar Rapids,IA,52402-5092,45107.0,Non Profit,2.8
744.0,00185600,Cornell College,Mount Vernon,IA,52314-1098,45107.0,Non Profit,1.6
745.0,00185500,Des Moines University - Osteopathic Medical Center,West Des Moines,IA,50266-5360,45107.0,Non Profit,2.9
746.0,00185800,Divine Word College,Epworth,IA,52045-0380,45107.0,Non Profit,3.0
747.0,00185900,Dordt University,Sioux Center,IA,51250-1697,45107.0,Non Profit,3.0
748.0,00186000,Drake University,Des Moines,IA,50311-4505,45107.0,Non Profit,2.8
749.0,02328900,Emmaus Bible College,Dubuque,IA,52001-3096,45107.0,Non Profit,3.0
750.0,00712100,Faith Baptist Bible College & Theological Seminary,Ankeny,IA,50023-2152,45107.0,Non Profit,2.2
751.0,02262500,Faust Institute of Cosmetology,Spirit Lake,IA,51360-1649,44926.0,Proprietary,3.0
752.0,00186600,Graceland University,Lamoni,IA,50140-1699,45077.0,Non Profit,1.9
753.0,00186700,Grand View University,Des Moines,IA,50316-1599,45107.0,Non Profit,2.3
754.0,00186800,Grinnell College,Grinnell,IA,50112-1690,45107.0,Non Profit,3.0
755.0,03441300,Iowa School of Beauty,Sioux City,IA,51106-5111,45077.0,Proprietary,3.0
756.0,00826000,Iowa School of Beauty,Des Moines,IA,50322-3203,45077.0,Proprietary,3.0
757.0,00765900,La' James College of Hairstyling,Mason City,IA,50401-3308,44804.0,Proprietary,2.4
758.0,02134500,La' James International College,Davenport,IA,52806-3452,45107.0,Proprietary,0.6
759.0,01300600,La' James International College,Cedar Falls,IA,50613-5242,45107.0,Proprietary,0.6
760.0,00842400,La' James International College,Fort Dodge,IA,50501-5577,45107.0,Proprietary,0.6
761.0,02274100,La' James International College - Des Moines,Johnston,IA,50131-8813,45107.0,Proprietary,0.6
762.0,00187300,Loras College,Dubuque,IA,52004-0178,45077.0,Non Profit,2.9
763.0,00187400,Luther College,Decorah,IA,52101-1045,45077.0,Non Profit,2.2
764.0,01111300,Maharishi International University,Fairfield,IA,52557-0001,45107.0,Non Profit,2.9
765.0,00627300,Mercy College of Health Sciences,Des Moines,IA,50309-1239,45107.0,Non Profit,3.0
766.0,00187900,Morningside University,Sioux City,IA,51106-1751,45077.0,Non Profit,2.5
767.0,00188000,Mount Mercy University,Cedar Rapids,IA,52402-4797,45107.0,Non Profit,1.8
768.0,00188300,Northwestern College,Orange City,IA,51041-1996,45107.0,Non Profit,2.6
769.0,01230000,Palmer College of Chiropractic,Davenport,IA,52803-5287,45107.0,Non Profit,3.0
770.0,02160900,PCI Academy,Ames,IA,50010-6062,44926.0,Proprietary,2.5
771.0,00423300,Saint Luke's Methodist Hospital School of Radiologic Technology,Cedar Rapids,IA,52402-5098,44926.0,Non Profit,2.2
772.0,00794100,Salon Professional Academy (The),Cedar Falls,IA,50613-5061,44926.0,Proprietary,1.2
773.0,00188900,St. Ambrose University,Davenport,IA,52803-2898,45107.0,Non Profit,3.0
774.0,00729100,St. Luke's College,Sioux City,IA,51104-0263,44926.0,Non Profit,2.2
775.0,00626700,UnityPoint Health-Des Moines,Des Moines,IA,50309-1499,44926.0,Non Profit,2.2
776.0,00189600,Wartburg College,Waverly,IA,50677-2200,45077.0,Non Profit,2.5
777.0,00189700,Wartburg Theological Seminary,Dubuque,IA,52003-7769,45107.0,Non Profit,3.0
778.0,00190000,William Penn University,Oskaloosa,IA,52577-1799,45107.0,Non Profit,1.6
779.0,04207200,Academy di Firenze,Jerome,ID,83338-2329,44926.0,Proprietary,3.0
780.0,04203500,Austin Kade Academy,Idaho Falls,ID,83404-5540,44926.0,Proprietary,1.8
781.0,04176700,Aveda Institute Boise,Boise,ID,83704-4406,44926.0,Proprietary,2.9
782.0,00987300,Aveda Institute Twin Falls,Twin Falls,ID,83301-4154,44926.0,Proprietary,2.9
783.0,04203200,Boise Barber College a d.MARTiN Academy,Boise,ID,83709-1695,44926.0,Proprietary,2.6
784.0,02234500,Boise Bible College,Boise,ID,83714-1220,45107.0,Non Profit,1.5
785.0,00162500,Brigham Young University - Idaho,Rexburg,ID,83460-1650,44926.0,Non Profit,3.0
786.0,02218000,Carrington College,Boise,ID,83704-0000,44926.0,Proprietary,2.2
787.0,00161700,College of Idaho (The),Caldwell,ID,83605-4432,45107.0,Non Profit,1.7
788.0,04168600,College of Massage Therapy,Blackfoot,ID,83221-1758,44926.0,Proprietary,1.5
789.0,03832400,Cosmetology School of Arts & Sciences,Burley,ID,83318-4901,44926.0,Proprietary,2.3
790.0,04134300,Evans Hairstyling College,Rexburg,ID,83440-5277,44926.0,Proprietary,2.8
791.0,02349200,Headmasters School of Hair Design,Lewiston,ID,83501-1834,44926.0,Proprietary,3.0
792.0,02314000,Nathan Layne Institute of Cosmetology,Chubbuck,ID,83202-3110,44926.0,Proprietary,2.9
793.0,00162400,Northwest Nazarene University,Nampa,ID,83686-5897,45107.0,Non Profit,2.6
794.0,04155200,Oliver Finley Academy of Cosmetology,Boise,ID,83714-2900,44926.0,Proprietary,2.6
795.0,02607100,Paul Mitchell The School Boise,Boise,ID,83709-1662,44926.0,Proprietary,1.9
796.0,04144500,Paul Mitchell The School Rexburg,Rexburg,ID,83440-2600,44926.0,Proprietary,2.5
797.0,04268300,Rexburg College of Massage Therapy,Rexburg,ID,83440-3873,44926.0,Proprietary,3.0
798.0,02559500,Salon Professional Academy (The),Nampa,ID,83686-5104,44926.0,Proprietary,2.2
799.0,04150600,Urban 113 School of Cosmetology,Twin Falls,ID,83301-6229,44926.0,Proprietary,2.1
800.0,02068100,Adler University,Chicago,IL,60602-7298,44804.0,Non Profit,1.9
801.0,04124700,Ambria College of Nursing,Hoffman Estates,IL,60192-3712,44926.0,Proprietary,2.6
802.0,00162800,American Academy of Art College,Chicago,IL,60604-4302,44926.0,Proprietary,-1.0
803.0,04244600,Americare Technical School,Park Ridge,IL,60068-3143,44926.0,Proprietary,1.8
804.0,00163300,Augustana College,Rock Island,IL,61201-2296,45107.0,Non Profit,3.0
805.0,00163400,Aurora University,Aurora,IL,60506-4892,45107.0,Non Profit,2.8
806.0,02536700,Bell Mar Beauty College,Cicero,IL,60804-2129,45107.0,Proprietary,3.0
807.0,00176700,Benedictine University,Lisle,IL,60532-0900,45077.0,Non Profit,2.4
808.0,00163900,Blackburn University,Carlinville,IL,62626-1498,45107.0,Non Profit,2.3
809.0,00621400,Blessing Hospital,Quincy,IL,62301-0000,44834.0,Non Profit,2.2
810.0,00164100,Bradley University,Peoria,IL,61625-0002,45077.0,Non Profit,2.2
811.0,03914300,"CALC, Institute of Technology",Alton,IL,62002-5946,44926.0,Proprietary,1.8
812.0,03078400,Cameo Beauty Academy,Oak Lawn,IL,60453-3196,44926.0,Proprietary,1.8
813.0,02349500,Cannella School of Hair Design,Chicago,IL,60632-2549,44926.0,Proprietary,-1.0
814.0,02202600,Cannella School of Hair Design,Villa Park,IL,60181-1321,44926.0,Proprietary,-1.0
815.0,01308800,Capri Beauty College,New Lenox,IL,60451-3860,44834.0,Proprietary,1.5
816.0,00923200,Catholic Theological Union at Chicago,Chicago,IL,60615-5698,45107.0,Non Profit,3.0
817.0,04253800,Chicago Professional Center,Prospect Heights,IL,60070-4755,44926.0,Proprietary,3.0
818.0,00166100,Chicago Theological Seminary,Chicago,IL,60637-2902,45107.0,Non Profit,2.2
819.0,04242800,Coalition of African American Nurses,Matteson,IL,60443-3821,44926.0,Non Profit,2.0
820.0,00166500,Columbia College Chicago,Chicago,IL,60605-1996,44804.0,Non Profit,2.2
821.0,00166600,Concordia University,River Forest,IL,60305-1499,45107.0,Non Profit,2.8
822.0,02150600,Cosmetology and Spa Academy,Crystal Lake,IL,60014-4003,44926.0,Proprietary,3.0
823.0,04225300,Creative Touch Cosmetology School,Waterloo,IL,62298-1609,44926.0,Proprietary,1.5
824.0,04229900,Debutantes School of Beauty,DeKalb,IL,60115-3301,44926.0,Proprietary,2.5
825.0,00167100,DePaul University,Chicago,IL,60604-2287,45107.0,Non Profit,3.0
826.0,01072700,DeVry University,Naperville,IL,60563-0000,45107.0,Proprietary,2.3
827.0,00175000,Dominican University,River Forest,IL,60305-1066,45107.0,Non Profit,2.2
828.0,02168600,East-West University,Chicago,IL,60605-2185,44804.0,Non Profit,3.0
829.0,00825900,Educators of Beauty College of Cosmetology,Sterling,IL,61081-3611,44926.0,Proprietary,1.6
830.0,00947500,Educators of Beauty College of Cosmetology,Peru,IL,61354-3101,44926.0,Proprietary,1.6
831.0,00167600,Elmhurst University,Elmhurst,IL,60126-3296,45107.0,Non Profit,3.0
832.0,03510300,Erikson Institute,Chicago,IL,60654-4510,45107.0,Non Profit,2.9
833.0,04174900,Estelle Skin Care and Spa Institute,Skokie,IL,60077-9945,44926.0,Proprietary,2.0
834.0,02556100,ETI School of Skilled Trades,Willowbrook,IL,60527-5627,44926.0,Proprietary,3.0
835.0,00167800,Eureka College,Eureka,IL,61530-9976,45107.0,Non Profit,1.5
836.0,02584900,First Institute,Crystal Lake,IL,60014-7489,44926.0,Proprietary,2.3
837.0,02522800,Fox College,Tinley Park,IL,60477-4451,45107.0,Proprietary,3.0
838.0,02498200,G Skin & Beauty Institute,Oak Brook,IL,60523-1805,44926.0,Proprietary,3.0
839.0,02261200,G Skin & Beauty Institute,Schaumburg,IL,60195-3112,44926.0,Proprietary,3.0
840.0,00168200,Garrett - Evangelical Theological Seminary,Evanston,IL,60201-2926,45107.0,Non Profit,3.0
841.0,00456000,Gem City College,Quincy,IL,62301-4949,44926.0,Proprietary,3.0
842.0,00171600,Generations College,Chicago,IL,60602-4405,45107.0,Non Profit,2.4
843.0,02332200,Hair Professionals Career College,Sycamore,IL,60178-3164,44926.0,Proprietary,2.6
844.0,02587700,Hair Professionals Career College,Palos Hills,IL,60465-1929,44926.0,Proprietary,2.9
845.0,02262100,Hair Professionals School of Cosmetology,Oswego,IL,60543-9175,44834.0,Proprietary,1.9
846.0,00168500,Hebrew Theological College,Skokie,IL,60077-3263,45107.0,Non Profit,2.9
847.0,04232300,HVAC Technical Institute,Chicago,IL,60632-4457,44926.0,Proprietary,2.4
848.0,00168800,Illinois College,Jacksonville,IL,62650-2299,45077.0,Non Profit,2.2
849.0,00168900,Illinois College of Optometry,Chicago,IL,60616-3878,45107.0,Non Profit,2.8
850.0,00169100,Illinois Institute of Technology,Chicago,IL,60616-3717,45077.0,Non Profit,0.6
851.0,03101800,Illinois Media School,Chicago,IL,60631-2802,44926.0,Proprietary,3.0
852.0,00169600,Illinois Wesleyan University,Bloomington,IL,61702-2900,44773.0,Non Profit,2.6
853.0,04167800,Innovations Design Academy,Macomb,IL,61455-2625,44926.0,Proprietary,1.8
854.0,02573700,Institute for Clinical Social Work,Chicago,IL,60640-1229,45107.0,Non Profit,2.2
855.0,04187400,John Amico School of Hair Design,Oak Forest,IL,60452-2501,44926.0,Proprietary,3.0
856.0,02556600,John Amico School of Hair Design 2,Niles,IL,60714-2827,44926.0,Proprietary,3.0
857.0,00170000,Judson University,Elgin,IL,60123-1498,45077.0,Non Profit,0.6
858.0,02319200,Lake Forest Graduate School of Management,Lake Forest,IL,60045-4824,45107.0,Non Profit,2.2
859.0,01050100,Lakeview College of Nursing,Danville,IL,61832-3781,44926.0,Non Profit,2.2
860.0,04117600,Larry's Barber College,Chicago,IL,60628-2322,44926.0,Proprietary,1.5
861.0,00170700,Lewis University,Romeoville,IL,60446-2200,45107.0,Non Profit,3.0
862.0,00171000,Loyola University Chicago,Chicago,IL,60660-1537,45107.0,Non Profit,3.0
863.0,00171200,Lutheran School of Theology at Chicago,Chicago,IL,60615-5698,45107.0,Non Profit,2.8
864.0,00172100,McCormick Theological Seminary,Chicago,IL,60615-5604,45107.0,Non Profit,2.2
865.0,03468500,MDT College of Health Sciences,Chicago,IL,60602-1708,44926.0,Proprietary,2.7
866.0,00172300,Meadville Theological School of Lombard College,Chicago,IL,60601-3616,45107.0,Non Profit,2.5
867.0,00622800,Methodist College,Peoria,IL,61615-9235,44926.0,Non Profit,2.2
868.0,03368300,Midwest Technical Institute,Springfield,IL,62707-8805,44926.0,Proprietary,2.0
869.0,04139000,Midwestern Career College,Chicago,IL,60601-1201,44926.0,Proprietary,2.5
870.0,00165700,Midwestern University,Downers Grove,IL,60515-1200,45107.0,Non Profit,3.0
871.0,00172400,Millikin University,Decatur,IL,62522-2084,45107.0,Non Profit,3.0
872.0,00172500,Monmouth College,Monmouth,IL,61462-1963,45107.0,Non Profit,3.0
873.0,00172700,Moody Bible Institute,Chicago,IL,60610-3214,45107.0,Non Profit,3.0
874.0,00888000,Morrison Institute of Technology,Morrison,IL,61270-2959,45077.0,Non Profit,2.5
875.0,00793700,Ms Roberts Academy of Beauty Culture,Hillside,IL,60162-1305,44926.0,Proprietary,2.9
876.0,00173300,National Louis University,Chicago,IL,60603-3032,45107.0,Non Profit,3.0
877.0,00173200,National University of Health Sciences (The),Lombard,IL,60148-4583,44804.0,Non Profit,2.2
878.0,04224400,Networks Barber College,Calumet City,IL,60409-3401,44926.0,Proprietary,2.0
879.0,00173400,North Central College,Naperville,IL,60540-4690,45107.0,Non Profit,2.4
880.0,00173900,Northwestern University,Evanston,IL,60208-0001,44804.0,Non Profit,2.2
881.0,02297500,Oehrlein School of Cosmetology,East Peoria,IL,61611-2804,44926.0,Proprietary,-0.6
882.0,03490300,Paul Mitchell the School Chicago,Chicago,IL,60607-0000,44957.0,Proprietary,2.2
883.0,04160600,Paul Mitchell The School Normal,Normal,IL,61761-0000,44804.0,Proprietary,1.7
884.0,03065300,Paul Mitchell The School Tinley Park,Tinley Park,IL,60477-6273,44926.0,Proprietary,1.8
885.0,04254000,Phipps Academy of Barbering,Richton Park,IL,60471-1404,44926.0,Proprietary,1.5
886.0,01083600,Pivot Point Academy,Bloomingdale,IL,60108-4367,44865.0,Proprietary,3.0
887.0,02323300,Professional's Choice Hair Design Academy,Joliet,IL,60435-6434,44926.0,Proprietary,2.2
888.0,00174500,Quincy University,Quincy,IL,62301-2699,45077.0,Non Profit,0.0
889.0,04189400,Reflections Academy of Beauty,Decatur,IL,62526-2425,44926.0,Proprietary,2.2
890.0,00174800,Rockford University,Rockford,IL,61108-2393,45107.0,Non Profit,2.3
891.0,00174900,Roosevelt University,Chicago,IL,60605-1394,44804.0,Non Profit,1.7
892.0,00165900,Rosalind Franklin University of Medicine and Science,North Chicago,IL,60064-3095,45107.0,Non Profit,2.3
893.0,03082900,Rosel School of Cosmetology,Niles,IL,60714-1217,44926.0,Proprietary,1.5
894.0,00980000,Rush University,Chicago,IL,60612-3806,45107.0,Non Profit,3.0
895.0,00998700,Saint Anthony College of Nursing,Rockford,IL,61114-0000,44834.0,Non Profit,2.0
896.0,02185400,Saint Augustine College,Chicago,IL,60640-3593,45107.0,Non Profit,3.0
897.0,00624000,Saint Francis Medical Center College of Nursing,Peoria,IL,61603-3783,44834.0,Non Profit,2.0
898.0,00176800,Saint Xavier University,Chicago,IL,60655-3199,45107.0,Non Profit,3.0
899.0,00175300,School of the Art Institute of Chicago,Chicago,IL,60603-3013,45107.0,Non Profit,3.0
900.0,03891300,Soma Institute - The National School of Clinical Massage Therapy,Chicago,IL,60604-4110,44926.0,Proprietary,2.3
901.0,03098000,St. John's College,Springfield,IL,62702-5321,45107.0,Non Profit,3.0
902.0,04189600,State Career College,Gurnee,IL,60031-3774,44926.0,Proprietary,0.6
903.0,02228100,Steven Papageorge Hair Academy,Chicago,IL,60625-5103,44926.0,Proprietary,1.7
904.0,01181000,Taylor Business Institute,Chicago,IL,60602-4404,44926.0,Proprietary,2.2
905.0,02073200,Telshe Yeshiva-Chicago,Chicago,IL,60625-5526,45107.0,Non Profit,3.0
906.0,04224500,Trenz Beauty Academy,Calumet City,IL,60409-0000,44926.0,Proprietary,2.5
907.0,04147100,Tricoci University of Beauty Culture,Libertyville,IL,60048-2906,44926.0,Proprietary,1.7
908.0,04137500,Tricoci University of Beauty Culture,Chicago,IL,60656-1805,44926.0,Proprietary,1.7
909.0,04147300,Tricoci University of Beauty Culture,Glendale Heights,IL,60139-3119,44926.0,Proprietary,1.7
910.0,04147200,Tricoci University of Beauty Culture,Bridgeview,IL,60455-1824,44926.0,Proprietary,1.7
911.0,02317300,Tricoci University of Beauty Culture,Urbana,IL,61801-3214,44926.0,Proprietary,1.7
912.0,04147400,Tricoci University of Beauty Culture,Peoria,IL,61614-4831,44926.0,Proprietary,1.7
913.0,04147500,Tricoci University of Beauty Culture,Rockford,IL,61108-2337,44926.0,Proprietary,1.7
914.0,00177100,Trinity Christian College,Palos Heights,IL,60463-0929,45107.0,Non Profit,2.3
915.0,00622500,Trinity College of Nursing & Health Sciences,Rock Island,IL,61201-5317,44926.0,Non Profit,2.2
916.0,04175000,Universal Spa Training Academy,Downers Grove,IL,60515-0000,44834.0,Proprietary,2.2
917.0,04136900,University of Aesthetics & Cosmetology,Chicago,IL,60622-2151,44926.0,Proprietary,1.8
918.0,04137000,University of Aesthetics & Cosmetology (The),Downers Grove,IL,60515-4607,44926.0,Proprietary,1.8
919.0,00177400,University of Chicago (The),Chicago,IL,60637-1476,45107.0,Non Profit,2.8
920.0,00176500,University of Saint Mary of the Lake,Mundelein,IL,60060-1174,45107.0,Non Profit,2.8
921.0,02124400,University of Spa & Cosmetology Arts,Springfield,IL,62704-0000,44926.0,Proprietary,3.0
922.0,00166400,University of St. Francis,Joliet,IL,60435-6188,45077.0,Non Profit,2.3
923.0,00177800,VanderCook College of Music,Chicago,IL,60616-3731,44773.0,Non Profit,2.2
924.0,04179100,Verve College,Oak Brook,IL,60523-1234,44926.0,Proprietary,2.7
925.0,00178100,Wheaton College,Wheaton,IL,60187-5535,45107.0,Non Profit,2.8
926.0,00178300,Worsham College of Mortuary Science,Wheeling,IL,60090-2646,44926.0,Proprietary,0.2
927.0,04295500,Zen Shiatsu Chicago,Evanston,IL,60201-4317,44926.0,Proprietary,1.6
928.0,00182300,Anabaptist Mennonite Biblical Seminary,Elkhart,IN,46517-1999,45107.0,Non Profit,2.4
929.0,00178500,Anderson University,Anderson,IN,46012-3495,45077.0,Non Profit,1.8
930.0,04155900,Aveda Fredric's Institute,Carmel,IN,46032-3215,45107.0,Proprietary,1.8
931.0,03176300,Aviation Institute of Maintenance,Indianapolis,IN,46241-1445,44926.0,Proprietary,2.7
932.0,00163700,Bethany Theological Seminary,Richmond,IN,47374-4019,45107.0,Non Profit,3.0
933.0,00178700,Bethel University,Mishawaka,IN,46545-5591,45107.0,Non Profit,1.8
934.0,00178800,Butler University,Indianapolis,IN,46208-3487,45077.0,Non Profit,2.4
935.0,00183400,Calumet College of Saint Joseph,Whiting,IN,46394-2195,45107.0,Non Profit,2.2
936.0,04274300,Caris College,Jeffersonville,IN,47130-8293,44926.0,Proprietary,1.8
937.0,04258200,Christina and Company Education Center,Lafayette,IN,47905-4633,44926.0,Proprietary,1.8
938.0,02615800,College of Court Reporting,Valparaiso,IN,46385-5529,44834.0,Proprietary,1.8
939.0,02087600,Concordia Theological Seminary,Fort Wayne,IN,46825-4996,45107.0,Non Profit,2.8
940.0,04100300,Denmark College,Merrillville,IN,46410-5310,44926.0,Proprietary,1.9
941.0,00179200,DePauw University,Greencastle,IN,46135-0037,45107.0,Non Profit,2.4
942.0,02164300,Don Roberts School of Hair Design,Schererville,IN,46375-9999,44834.0,Proprietary,3.0
943.0,00179300,Earlham College,Richmond,IN,47374-4095,45107.0,Non Profit,2.6
944.0,00179800,Franklin College of Indiana,Franklin,IN,46131-2623,45107.0,Non Profit,2.3
945.0,00179900,Goshen College,Goshen,IN,46526-4794,45107.0,Non Profit,2.2
946.0,00180000,Grace College and Theological Seminary,Winona Lake,IN,46590-1224,45046.0,Non Profit,1.4
947.0,00726300,Holy Cross College,Notre Dame,IN,46556-0308,45107.0,Non Profit,2.2
948.0,04140500,Horizon University,Indianapolis,IN,46236-2622,45107.0,Non Profit,2.3
949.0,00180300,Huntington University,Huntington,IN,46750-1299,45077.0,Non Profit,1.8
950.0,04256100,Indiana College of Sports & Medical Massage,Carmel,IN,46290-1006,44926.0,Proprietary,1.9
951.0,00180500,Indiana Institute of Technology,Fort Wayne,IN,46803-1297,45107.0,Non Profit,2.4
952.0,00182200,Indiana Wesleyan University,Marion,IN,46953-4974,45107.0,Non Profit,3.0
953.0,00457900,International Business College,Indianapolis,IN,46256-3954,45107.0,Proprietary,3.0
954.0,00951500,J. Michael Harrold Beauty Academy,Terre Haute,IN,47807-3390,45107.0,Proprietary,3.0
955.0,04232800,John Patrick University of Health and Applied Sciences,South Bend,IN,46601-2352,45107.0,Proprietary,2.7
956.0,04256200,Kenny's Academy of Barbering,Indianapolis,IN,46222-2327,44926.0,Proprietary,-0.4
957.0,02351300,Knox Beauty College,Knox,IN,46534-2015,45107.0,Proprietary,0.0
958.0,04205500,Lil Lou's Beauty and Barber College,Gary,IN,46409-2404,44926.0,Proprietary,1.8
959.0,00793800,Lincoln College of Technology,Indianapolis,IN,46268-4198,44926.0,Proprietary,2.9
960.0,00182000,Manchester University,North Manchester,IN,46962-1276,45107.0,Non Profit,2.2
961.0,00182100,Marian University,Indianapolis,IN,46222-1997,45107.0,Non Profit,2.1
962.0,01061800,Mid-America College of Funeral Service,Jeffersonville,IN,47130-9630,44926.0,Non Profit,3.0
963.0,04121000,MyComputerCareer at Indianapolis,Indianapolis,IN,46241-5544,45107.0,Proprietary,1.7
964.0,04184000,Paul Mitchell The School Indianapolis,Indianapolis,IN,46227-6252,45107.0,Proprietary,2.6
965.0,04230300,Paul Mitchell The School Merrillville,Merrillville,IN,46410-5540,44926.0,Proprietary,2.9
966.0,02304800,PJ's College of Cosmetology,Richmond,IN,47374-3103,44926.0,Proprietary,2.8
967.0,02241700,PJ's College of Cosmetology,Clarksville,IN,47129-2204,44926.0,Proprietary,2.8
968.0,02084800,Ravenscroft Beauty College,Fort Wayne,IN,46835-4132,44926.0,Proprietary,2.5
969.0,02339600,Rogers Academy of Hair Design,Evansville,IN,47708-1445,45107.0,Proprietary,3.0
970.0,00967300,Rudae's School of Beauty Culture,Fort Wayne,IN,46825-5444,44926.0,Proprietary,3.0
971.0,00625700,Saint Elizabeth School of Nursing,Lafayette,IN,47904-9988,44926.0,Non Profit,2.2
972.0,00183600,Saint Mary's College,Notre Dame,IN,46556-5007,45077.0,Non Profit,2.2
973.0,00727600,Saint Meinrad School of Theology,St Meinrad,IN,47577-1002,45107.0,Non Profit,3.0
974.0,04172700,Salon Professional Academy (The),Evansville,IN,47715-7822,45107.0,Proprietary,3.0
975.0,04166700,Summit Salon Academy,Anderson,IN,46013-2832,44926.0,Proprietary,2.9
976.0,04186600,Summit Salon Academy Kokomo,Kokomo,IN,46901-6248,44926.0,Proprietary,2.8
977.0,00183800,Taylor University,Upland,IN,46989-1001,45077.0,Non Profit,3.0
978.0,04246600,Textures Institute of Cosmetology,Indianapolis,IN,46268-3635,44926.0,Proprietary,3.0
979.0,01150500,Tricoci University of Beauty Culture,Highland,IN,46322-1554,44926.0,Proprietary,1.7
980.0,02607000,Tricoci University of Beauty Culture,Bloomington,IN,47404-2419,44926.0,Proprietary,1.7
981.0,04130900,Tricoci University of Beauty Culture,Indianapolis,IN,46256-3317,44926.0,Proprietary,1.7
982.0,00183900,Trine University,Angola,IN,46703-1764,45046.0,Non Profit,3.0
983.0,04250000,Union Bible College,Westfield,IN,46074-0900,45107.0,Non Profit,1.7
984.0,00179500,University of Evansville,Evansville,IN,47722-0002,45077.0,Non Profit,2.2
985.0,00180400,University of Indianapolis,Indianapolis,IN,46227-3697,45107.0,Non Profit,2.4
986.0,00184200,Valparaiso University,Valparaiso,IN,46383-6493,45107.0,Non Profit,2.2
987.0,03862600,Veritas Baptist College,Lawrenceburg,IN,47025-0000,45107.0,Non Profit,2.2
988.0,01015100,Vincennes Beauty College,Vincennes,IN,47591-1297,44926.0,Proprietary,3.0
989.0,00184400,Wabash College,Crawfordsville,IN,47933-0352,45107.0,Non Profit,2.8
990.0,00190300,Baker University,Baldwin City,KS,66006-0065,45107.0,Non Profit,1.5
991.0,01025600,Benedictine College,Atchison,KS,66002-1499,45107.0,Non Profit,3.0
992.0,00190400,Bethany College,Lindsborg,KS,67456-1897,45107.0,Non Profit,1.1
993.0,00190500,Bethel College,North Newton,KS,67117-8061,45107.0,Non Profit,3.0
994.0,00190800,Central Christian College of Kansas,McPherson,KS,67460-5799,45107.0,Non Profit,1.9
